ADM3_PCODE;Sufragantes;Votos_válidos;Nulos;Blancos;Nulos_pct;Blancos_pct;Centro;"Centro con tinte
institucionalista";Centro pragmático;"Centro-derecha
moderado";"Centro-izquierda
libertaria";"DANIEL NOBOA AZIN
(Derecha liberal 
moderada)";Derecha autoritaria;"Derecha autoritaria
dura";"Derecha autoritaria
moderada";Derecha liberal;Derecha moderada;Izquierda autoritaria;Izquierda libertaria;"LUISA GONZALEZ
(Izquierda autoritaria)"
EC010150;9015,0;8369,0;529,0;111,0;0,05867997781475319;0,012312811980033278;0,04836383804769828;0,0017748197448696616;0,0026622296173044926;0,0013311148086522463;0,003771491957848031;0,4753189129229063;0,003216860787576262;0,0009983361064891847;0,0018857459789240155;0,0019966722129783694;0,002329450915141431;0,004936217415418747;0,03538546866333888;0,33621741541874656
EC010151;18049,0;16323,0;1404,0;312,0;0,07778824311596211;0,01728627624799158;0,04460080890908084;0,0023824034572552497;0,002604022383511552;0,001828356141614494;0,0032688791622804587;0,3927087373261677;0,0036013075516649123;0,001939165604742645;0,0018837608731785695;0,002936450772896005;0,0027148318466397032;0,006149925203612389;0,0610006094520472;0,3670009418804366
EC010152;4073,0;3640,0;321,0;112,0;0,07881168671740732;0,027498158605450528;0,02995335133808004;0,003682789098944267;0,0031917505524183647;0,003928308372207218;0,003682789098944267;0,3562484655045421;0,004787625828627547;0,0024551927326295114;0,00220967345936656;0,001718634912840658;0,0012275963663147557;0,003928308372207218;0,11244782715443162;0,35551190768475327
EC010153;1006,0;860,0;83,0;63,0;0,08250497017892644;0,06262425447316103;0,02584493041749503;0,002982107355864811;0,002982107355864811;0,0019880715705765406;0,0019880715705765406;0,23359840954274355;0,003976143141153081;0,0009940357852882703;0,0019880715705765406;0,006958250497017893;0,006958250497017893;0,003976143141153081;0,1073558648111332;0,44532803180914515
EC010154;1659,0;1447,0;162,0;48,0;0,09764918625678119;0,028933092224231464;0,0379746835443038;0,0024110910186859553;0,0030138637733574444;0,004219409282700422;0,0006027727546714888;0,4104882459312839;0,003616636528028933;0,0024110910186859553;0,0012055455093429777;0,009041591320072333;0,004822182037371911;0,002109704641350211;0,0644966847498493;0,32007233273056057
EC010155;2947,0;2591,0;270,0;84,0;0,09161859518154054;0,028503562945368172;0,043434000678656264;0,003053953172718018;0,0033932813030200203;0,0023752969121140144;0,005429250084832033;0,3898880217170003;0,0035629453681710215;0,003053953172718018;0,0020359687818120122;0,005429250084832033;0,0020359687818120122;0,005429250084832033;0,07431286053613845;0,32677298948082795
EC010156;3166,0;2813,0;284,0;68,0;0,08970309538850284;0,02147820593809223;0,058749210360075806;0,003474415666456096;0,004421983575489577;0,002842703727100442;0,004737839545167404;0,3310170562223626;0,003948199620972836;0,002526847757422615;0,003474415666456096;0,006317119393556538;0,002526847757422615;0,005527479469361971;0,07454200884396715;0,37492103600758053
EC010157;4490,0;3898,0;432,0;158,0;0,09621380846325167;0,03518930957683741;0,027394209354120267;0,0022271714922048997;0,0017817371937639199;0,0020044543429844097;0,0026726057906458797;0,26659242761692653;0,005345211581291759;0,004454342984409799;0,0020044543429844097;0,0022271714922048997;0,0033407572383073497;0,0027839643652561247;0,062360801781737196;0,4748329621380846
EC010158;4302,0;3899,0;315,0;87,0;0,07322175732217573;0,020223152022315203;0,050674105067410505;0,00302185030218503;0,002789400278940028;0,0020920502092050207;0,004416550441655044;0,39516503951650395;0,002789400278940028;0,0018596001859600185;0,001394700139470014;0,005346350534635054;0,0020920502092050207;0,004300325430032543;0,07438400743840075;0,34890748489074846
EC010159;1276,0;1072,0;126,0;78,0;0,0987460815047022;0,061128526645768025;0,034482758620689655;0,003918495297805642;0,0023510971786833857;0,0;0,003134796238244514;0,26880877742946707;0,005877742946708464;0,004702194357366771;0,0023510971786833857;0,011755485893416929;0,007053291536050157;0,0054858934169279;0,09012539184952978;0,3887147335423197
