ADM3_PCODE;JUNTA_SEXO;Sufragantes;Votos_válidos;Nulos;Blancos;Nulos_pct;Blancos_pct;Centro;"Centro con tinte
institucionalista";Centro pragmático;"Centro-derecha
moderado";"Centro-izquierda
libertaria";"DANIEL NOBOA AZIN
(Derecha liberal 
moderada)";Derecha autoritaria;"Derecha autoritaria
dura";"Derecha autoritaria
moderada";Derecha liberal;Derecha moderada;Izquierda autoritaria;Izquierda libertaria;"LUISA GONZALEZ
(Izquierda autoritaria)"
EC010150;FEMENINO;4831,0;4492,0;288,0;48,0;0,05961498654522873;0,009935831090871455;0,05009314841647692;0,001448975367418754;0,0033119436969571516;0,001241978886358932;0,003932933140136618;0,4829227903125647;0,006002897950734837;0,000620989443179466;0,0018629683295383979;0,001241978886358932;0,0016559718484785758;0,008693852204512523;0,034154419374870626;0,3326433450631339
EC010151;FEMENINO;9755,0;8756,0;804,0;188,0;0,08241927216811891;0,01927216811891338;0,044387493593029216;0,0023577652485904663;0,003485392106611994;0,0013326499231163505;0,0025627883136852894;0,3858534085084572;0,007483341875961046;0,00194771911840082;0,0011276268580215274;0,0033828805740645823;0,0018452075858534085;0,00963608405945669;0,05884161968221425;0,373347001537673
EC010152;FEMENINO;2349,0;2079,0;200,0;70,0;0,08514261387824607;0,02979991485738612;0,0280970625798212;0,004257130693912303;0,0021285653469561515;0,005108556832694764;0,001277139208173691;0,35717326521924225;0,009365687526607066;0,002979991485738612;0,0021285653469561515;0,0008514261387824606;0,0017028522775649213;0,008088548318433376;0,09791400595998297;0,36398467432950193
EC010153;FEMENINO;522,0;453,0;40,0;29,0;0,07662835249042145;0,05555555555555555;0,032567049808429116;0,0038314176245210726;0,005747126436781609;0,0038314176245210726;0,0019157088122605363;0,21839080459770116;0,011494252873563218;0,0019157088122605363;0,0019157088122605363;0,0038314176245210726;0,0038314176245210726;0,007662835249042145;0,08812260536398467;0,4827586206896552
EC010154;FEMENINO;962,0;840,0;87,0;35,0;0,09043659043659044;0,036382536382536385;0,035343035343035345;0,0031185031185031187;0,0031185031185031187;0,006237006237006237;0,0;0,4022869022869023;0,009355509355509356;0,002079002079002079;0,002079002079002079;0,011434511434511435;0,002079002079002079;0,0031185031185031187;0,061330561330561334;0,3316008316008316
EC010155;FEMENINO;1658,0;1438,0;169,0;49,0;0,10193003618817853;0,029553679131483716;0,046441495778045835;0,0036188178528347406;0,004221954161640531;0,0024125452352231603;0,006031363088057901;0,37454764776839566;0,008443908323281062;0,0036188178528347406;0,0006031363088057901;0,005428226779252111;0,0024125452352231603;0,008443908323281062;0,07599517490952955;0,3250904704463209
EC010156;FEMENINO;1690,0;1492,0;161,0;37,0;0,09526627218934912;0,021893491124260357;0,052662721893491124;0,0029585798816568047;0,004733727810650888;0,004733727810650888;0,0035502958579881655;0,33136094674556216;0,005917159763313609;0,001183431952662722;0,002366863905325444;0,008284023668639054;0,0017751479289940828;0,011834319526627219;0,06982248520710059;0,3816568047337278
EC010157;FEMENINO;2399,0;2074,0;251,0;75,0;0,10462692788661943;0,03126302626094206;0,029595664860358483;0,0025010421008753647;0,0012505210504376823;0,0008336807002917883;0,0025010421008753647;0,267611504793664;0,011671529804085035;0,0025010421008753647;0,0025010421008753647;0,0016673614005835765;0,0020842017507294707;0,0029178824510212586;0,049187161317215504;0,48770320967069614
EC010158;FEMENINO;2255,0;2040,0;168,0;47,0;0,07450110864745012;0,020842572062084258;0,05144124168514413;0,0026607538802660754;0,003547671840354767;0,0013303769401330377;0,0031042128603104213;0,3875831485587583;0,004878048780487805;0,0017738359201773836;0,0004434589800443459;0,006208425720620843;0,0013303769401330377;0,00753880266075388;0,07095343680709534;0,36186252771618627
EC010159;FEMENINO;727,0;587,0;76,0;64,0;0,10453920220082531;0,08803301237964237;0,04401650618982118;0,005502063273727648;0,0;0,0;0,0041265474552957355;0,2310866574965612;0,009628610729023384;0,005502063273727648;0,002751031636863824;0,012379642365887207;0,011004126547455296;0,011004126547455296;0,0921595598349381;0,3782668500687758
EC010160;FEMENINO;2024,0;1797,0;181,0;46,0;0,08942687747035573;0,022727272727272728;0,057806324110671936;0,0024703557312252965;0,001976284584980237;0,001976284584980237;0,001976284584980237;0,3616600790513834;0,005928853754940711;0,0004940711462450593;0,0024703557312252965;0,006422924901185771;0,003458498023715415;0,010869565217391304;0,0800395256916996;0,350296442687747
EC010161;FEMENINO;2582,0;2216,0;259,0;106,0;0,10030983733539892;0,041053446940356314;0,02517428350116189;0,0023237800154918666;0,002711076684740511;0,0038729666924864447;0,004260263361735089;0,26103795507358635;0,009682416731216111;0,0038729666924864447;0,0023237800154918666;0,005422153369481022;0,001549186676994578;0,004647560030983733;0,14484895429899303;0,3865220759101472
EC010162;FEMENINO;7855,0;7035,0;672,0;148,0;0,08555060471037555;0,018841502227880332;0,04977721196690006;0,001527689369828135;0,00305537873965627;0,0024188415022278805;0,002546148949713558;0,3994907702100573;0,006365372374283896;0,0006365372374283895;0,0017823042647994907;0,003437301082113304;0,001654996817313813;0,011075747931253979;0,04977721196690006;0,362062380649268
EC010163;FEMENINO;3798,0;3401,0;300,0;96,0;0,07898894154818326;0,02527646129541864;0,05476566614007372;0,0013164823591363876;0,00421274354923644;0,0018430753027909425;0,0018430753027909425;0,38599262769878884;0,006845708267509215;0,001579778830963665;0,0026329647182727752;0,0028962611901000527;0,00210637177461822;0,006582411795681938;0,0666140073723012;0,35624012638230645
EC010164;FEMENINO;2351,0;2037,0;228,0;84,0;0,0969800085070183;0,03572947681837516;0,042960442364951085;0,002552105487026797;0,0012760527435133986;0,002552105487026797;0,0038281582305401958;0,3088047639302425;0,005954912803062527;0,002552105487026797;0,0004253509145044662;0,002126754572522331;0,002126754572522331;0,005104210974053594;0,11612079965971926;0,37005529561888556
EC010165;FEMENINO;4975,0;4414,0;442,0;117,0;0,08884422110552764;0,023517587939698492;0,053266331658291456;0,002412060301507538;0,0018090452261306533;0,0032160804020100503;0,0026130653266331657;0,3708542713567839;0,006231155778894473;0,0018090452261306533;0,0016080402010050252;0,002412060301507538;0,0018090452261306533;0,010050251256281407;0,0592964824120603;0,3698492462311558
EC010166;FEMENINO;1435,0;1273,0;125,0;35,0;0,08710801393728224;0,024390243902439025;0,04250871080139373;0,004181184668989547;0,004181184668989547;0,003484320557491289;0,004181184668989547;0,22369337979094076;0,006968641114982578;0,0027874564459930314;0,0006968641114982578;0,004181184668989547;0,004181184668989547;0,017421602787456445;0,05505226480836237;0,5135888501742161
EC010167;FEMENINO;4467,0;3855,0;459,0;149,0;0,10275352585627938;0,03335571972240878;0,044101186478621;0,004253413924334005;0,0076113722856503245;0,0047011417058428475;0,004925005596597269;0,3098276248041191;0,016565927915827176;0,002686366689053056;0,002910230579807477;0,007163644504141482;0,002686366689053056;0,009402283411685695;0,07588985896574882;0,37027087530781283
EC010168;FEMENINO;3975,0;3369,0;495,0;110,0;0,12452830188679245;0,027672955974842768;0,03949685534591195;0,001761006289308176;0,0025157232704402514;0,004528301886792453;0,0057861635220125785;0,29157232704402514;0,010314465408805032;0,0025157232704402514;0,0015094339622641509;0,003522012578616352;0,002767295597484277;0,005283018867924529;0,12754716981132075;0,3484276729559748
EC010169;FEMENINO;2944,0;2541,0;316,0;85,0;0,10733695652173914;0,028872282608695652;0,052309782608695655;0,001358695652173913;0,0020380434782608695;0,0020380434782608695;0,002377717391304348;0,3108016304347826;0,008152173913043478;0,001358695652173913;0,001358695652173913;0,005095108695652174;0,0030570652173913045;0,01358695652173913;0,07948369565217392;0,38009510869565216
EC010170;FEMENINO;7233,0;6446,0;632,0;156,0;0,0873772984930181;0,021567814184985483;0,05737591594082676;0,002626849163555924;0,002488593944421402;0,004009401354901148;0,002488593944421402;0,32061385317295726;0,007327526614129684;0,0008295313148071339;0,0016590626296142678;0,004977187888842804;0,0027651043826904466;0,008433568367205862;0,0941518042306097;0,3814461495921471
EC010171;FEMENINO;1876,0;1630,0;178,0;68,0;0,09488272921108742;0,03624733475479744;0,04797441364605544;0,0015991471215351812;0,0026652452025586353;0,005863539445628998;0,0015991471215351812;0,2905117270788913;0,007995735607675906;0,0010660980810234541;0,0021321961620469083;0,0015991471215351812;0,0010660980810234541;0,005330490405117271;0,11940298507462686;0,3800639658848614
EC010250;FEMENINO;3407,0;3007,0;284,0;116,0;0,08335779277957148;0,034047549163486936;0,03199295567948342;0,002348106838861168;0,003228646903434106;0,002348106838861168;0,0035221602582917524;0,46521866744936896;0,006163780452010567;0,0014675667742882301;0,0017610801291458762;0,0017610801291458762;0,0026416201937188143;0,0058702670971529205;0,12767830936307603;0,22659230995010274
EC010251;FEMENINO;858,0;783,0;50,0;24,0;0,05827505827505827;0,027972027972027972;0,030303030303030304;0,002331002331002331;0,002331002331002331;0,0;0,002331002331002331;0,4662004662004662;0,006993006993006993;0,002331002331002331;0,005827505827505828;0,0;0,005827505827505828;0,004662004662004662;0,06526806526806526;0,3181818181818182
EC010252;FEMENINO;218,0;202,0;3,0;13,0;0,013761467889908258;0,05963302752293578;0,027522935779816515;0,0045871559633027525;0,0;0,0045871559633027525;0,0;0,23394495412844038;0,0;0,0;0,0;0,0;0,0045871559633027525;0,009174311926605505;0,19724770642201836;0,44495412844036697
EC010350;FEMENINO;8879,0;7619,0;1015,0;244,0;0,11431467507602207;0,027480572136501857;0,03491384164883433;0,003716634756166235;0,0014641288433382138;0,0014641288433382138;0,001914630025903818;0,37673161392048654;0,005969140668994256;0,0010136276607726096;0,002252505912828021;0,0014641288433382138;0,002252505912828021;0,007208018921049668;0,06791305327176483;0,3498141682621917
EC010352;FEMENINO;588,0;489,0;74,0;25,0;0,12585034013605442;0,04251700680272109;0,027210884353741496;0,0017006802721088435;0,008503401360544218;0,003401360544217687;0,0017006802721088435;0,25170068027210885;0,011904761904761904;0,0017006802721088435;0,00510204081632653;0,013605442176870748;0,003401360544217687;0,0017006802721088435;0,14625850340136054;0,35374149659863946
EC010353;FEMENINO;1540,0;1353,0;128,0;61,0;0,08311688311688312;0,03961038961038961;0,04415584415584416;0,005194805194805195;0,003896103896103896;0,003896103896103896;0,003896103896103896;0,2662337662337662;0,007142857142857143;0,003896103896103896;0,001948051948051948;0,004545454545454545;0,003246753246753247;0,00974025974025974;0,11298701298701298;0,4077922077922078
EC010354;FEMENINO;652,0;535,0;84,0;33,0;0,12883435582822086;0,05061349693251534;0,023006134969325152;0,0015337423312883436;0,004601226993865031;0,0015337423312883436;0,003067484662576687;0,2883435582822086;0,0015337423312883436;0,0015337423312883436;0,0;0,003067484662576687;0,003067484662576687;0,007668711656441718;0,11042944785276074;0,37116564417177916
EC010356;FEMENINO;304,0;251,0;30,0;23,0;0,09868421052631579;0,0756578947368421;0,03618421052631579;0,003289473684210526;0,003289473684210526;0,006578947368421052;0,003289473684210526;0,34539473684210525;0,01644736842105263;0,0;0,003289473684210526;0,003289473684210526;0,003289473684210526;0,003289473684210526;0,05921052631578947;0,33881578947368424
EC010357;FEMENINO;1653,0;1339,0;229,0;82,0;0,1385359951603146;0,049606775559588624;0,015124016938898971;0,0018148820326678765;0,0030248033877797943;0,003629764065335753;0,006654567453115548;0,21052631578947367;0,007864488808227465;0,004234724742891712;0,0024198427102238356;0,0012099213551119178;0,0012099213551119178;0,007864488808227465;0,11312764670296431;0,43133696309739866
EC010358;FEMENINO;1012,0;862,0;106,0;44,0;0,10474308300395258;0,043478260869565216;0,03260869565217391;0,001976284584980237;0,0029644268774703555;0,001976284584980237;0,003952569169960474;0,24110671936758893;0,009881422924901186;0,0009881422924901185;0,001976284584980237;0,0029644268774703555;0,0029644268774703555;0,004940711462450593;0,09090909090909091;0,4525691699604743
EC010359;FEMENINO;262,0;215,0;34,0;13,0;0,1297709923664122;0,04961832061068702;0,003816793893129771;0,0;0,003816793893129771;0,0;0,003816793893129771;0,2862595419847328;0,007633587786259542;0,0;0,0;0,011450381679389313;0,003816793893129771;0,022900763358778626;0,08778625954198473;0,3893129770992366
EC010360;FEMENINO;251,0;219,0;22,0;10,0;0,08764940239043825;0,0398406374501992;0,04780876494023904;0,00398406374501992;0,0;0,00796812749003984;0,0;0,2868525896414343;0,01195219123505976;0,00398406374501992;0,00796812749003984;0,00398406374501992;0,0;0,00796812749003984;0,06772908366533864;0,42231075697211157
EC010450;FEMENINO;3902,0;3479,0;297,0;124,0;0,0761148129164531;0,03177857508969759;0,02665299846232701;0,0033316248077908763;0,0020502306509482316;0,0023065094823167607;0,005381855458739108;0,17324449000512557;0,006406970784213224;0,0020502306509482316;0,0012813941568426447;0,0007688364941055869;0,0033316248077908763;0,008713480266529985;0,2778062532034854;0,37826755509994875
EC010451;FEMENINO;850,0;750,0;79,0;21,0;0,09294117647058824;0,024705882352941175;0,02823529411764706;0,002352941176470588;0,0;0,002352941176470588;0,001176470588235294;0,18941176470588236;0,010588235294117647;0,001176470588235294;0,001176470588235294;0,001176470588235294;0,004705882352941176;0,004705882352941176;0,2576470588235294;0,3776470588235294
