ADM3_PCODE;JUNTA_SEXO;Sufragantes;Votos_válidos;Nulos;Blancos;Nulos_pct;Blancos_pct;Centro;"Centro con tinte
institucionalista";Centro pragmático;"Centro-derecha
moderado";"Centro-izquierda
libertaria";"DANIEL NOBOA AZIN
(Derecha liberal 
moderada)";Derecha autoritaria;"Derecha autoritaria
dura";"Derecha autoritaria
moderada";Derecha liberal;Derecha moderada;Izquierda autoritaria;Izquierda libertaria;"LUISA GONZALEZ
(Izquierda autoritaria)"
EC010150;MASCULINO;4184,0;3877,0;241,0;63,0;0,05760038240917782;0,01505736137667304;0,046367112810707455;0,0021510516252390057;0,0019120458891013384;0,0014340344168260039;0,0035850860420650094;0,4665391969407266;0,006931166347992352;0,0014340344168260039;0,0019120458891013384;0,0028680688336520078;0,003107074569789675;0,011233269598470364;0,036806883365200764;0,3403441682600382
EC010151;MASCULINO;8294,0;7567,0;600,0;124,0;0,07234145165179648;0,014950566674704605;0,044851700024113816;0,0024113817217265494;0,001567398119122257;0,0024113817217265494;0,004099348926935134;0,4007716421509525;0,006872437906920666;0,0019291053773812395;0,002773088979985532;0,0024113817217265494;0,0037376416686761512;0,015432843019049916;0,06353990836749457;0,3595370147094285
EC010152;MASCULINO;1724,0;1561,0;121,0;42,0;0,07018561484918794;0,024361948955916472;0,03248259860788863;0,002900232018561485;0,004640371229698376;0,002320185614849188;0,0069605568445475635;0,35498839907192575;0,009860788863109048;0,0017401392111368909;0,002320185614849188;0,002900232018561485;0,000580046403712297;0,0075406032482598605;0,13225058004640372;0,3439675174013921
EC010153;MASCULINO;484,0;407,0;43,0;34,0;0,08884297520661157;0,07024793388429752;0,01859504132231405;0,002066115702479339;0,0;0,0;0,002066115702479339;0,25;0,004132231404958678;0,0;0,002066115702479339;0,010330578512396695;0,010330578512396695;0,008264462809917356;0,128099173553719;0,4049586776859504
EC010154;MASCULINO;697,0;607,0;75,0;13,0;0,10760401721664276;0,018651362984218076;0,04160688665710186;0,0014347202295552368;0,0028694404591104736;0,0014347202295552368;0,0014347202295552368;0,4218077474892396;0,00430416068866571;0,0028694404591104736;0,0;0,005738880918220947;0,00860832137733142;0,005738880918220947;0,06886657101865136;0,30416068866571017
EC010155;MASCULINO;1289,0;1153,0;101,0;35,0;0,07835531419705198;0,027152831652443754;0,0395655546935609;0,0023273855702094647;0,0023273855702094647;0,0023273855702094647;0,004654771140418929;0,40961986035686576;0,005430566330488751;0,0023273855702094647;0,003878975950349108;0,005430566330488751;0,0015515903801396431;0,013964313421256789;0,0721489526764934;0,32893716058960437
EC010156;MASCULINO;1476,0;1321,0;123,0;31,0;0,08333333333333333;0,02100271002710027;0,06571815718157181;0,0040650406504065045;0,0040650406504065045;0,0006775067750677507;0,006097560975609756;0,33062330623306235;0,01016260162601626;0,0040650406504065045;0,0047425474254742545;0,0040650406504065045;0,0033875338753387536;0,01016260162601626;0,07994579945799458;0,36720867208672087
EC010157;MASCULINO;2091,0;1824,0;181,0;83,0;0,08656145384983262;0,03969392635102822;0,024868483978957436;0,001912960306073649;0,0023912003825920613;0,003347680535628886;0,0028694404591104736;0,2654232424677188;0,009564801530368245;0,006695361071257772;0,0014347202295552368;0,0028694404591104736;0,004782400765184123;0,00860832137733142;0,07747489239598278;0,4600669536107126
EC010158;MASCULINO;2047,0;1859,0;147,0;40,0;0,0718124084025403;0,019540791402051783;0,049829018075232046;0,003419638495359062;0,0019540791402051783;0,0029311187103077674;0,005862237420615535;0,4035173424523693;0,006350757205666829;0,0019540791402051783;0,002442598925256473;0,004396678065461651;0,0029311187103077674;0,009770395701025891;0,07816316560820713;0,3346360527601368
EC010159;MASCULINO;549,0;485,0;50,0;14,0;0,09107468123861566;0,025500910746812388;0,02185792349726776;0,0018214936247723133;0,00546448087431694;0,0;0,0018214936247723133;0,31876138433515483;0,014571948998178506;0,0036429872495446266;0,0018214936247723133;0,01092896174863388;0,0018214936247723133;0,01092896174863388;0,08743169398907104;0,40255009107468126
