ADM3_PCODE;Sufragantes;Votos_válidos;Nulos;Blancos;Nulos_pct;Blancos_pct;"DANIEL NOBOA AZIN
(Derecha liberal 
moderada)";"LUISA GONZALEZ
(Izquierda autoritaria)"
EC010150;9147,0;8542,0;572,0;33,0;0,06253416420684377;0,0036077402427025255;0,6067563135454247;0,327101782005029
EC010151;18304,0;16634,0;1553,0;114,0;0,08484484265734266;0,006228146853146853;0,566597465034965;0,3421656468531469
EC010152;4180,0;3837,0;309,0;35,0;0,07392344497607656;0,008373205741626795;0,5894736842105263;0,3284688995215311
EC010153;1024,0;912,0;88,0;24,0;0,0859375;0,0234375;0,38671875;0,50390625
EC010154;1662,0;1477,0;174,0;11,0;0,10469314079422383;0,006618531889290012;0,6070998796630566;0,2815884476534296
EC010155;2977,0;2646,0;309,0;22,0;0,10379576755122606;0,007389989922741014;0,579106483036614;0,30970775948941887
EC010156;3225,0;2900,0;304,0;22,0;0,09426356589147286;0,006821705426356589;0,546046511627907;0,3531782945736434
EC010157;4594,0;4168,0;385,0;40,0;0,08380496299521115;0,0087070091423596;0,4053112755768394;0,5019590770570309
EC010158;4364,0;4001,0;326,0;38,0;0,07470210815765353;0,008707607699358386;0,581576535288726;0,33524289642529786
EC010159;1273,0;1117,0;137,0;19,0;0,10761979575805185;0,014925373134328358;0,46897093479968577;0,408483896307934
EC010160;3694,0;3370,0;298,0;26,0;0,08067135896047645;0,007038440714672442;0,5793178126691932;0,33297238765565784
EC010161;4589,0;4105,0;427,0;57,0;0,09304859446502506;0,012421006755284375;0,51165831335803;0,3828720854216605
EC010162;14979,0;13677,0;1235,0;65,0;0,08244876159957273;0,00433940850524067;0,5719340409907203;0,34114426864276653
EC010163;7147,0;6537,0;558,0;52,0;0,07807471666433469;0,007275780047572408;0,5728277598992584;0,3418217433888345
EC010164;4336,0;3828,0;471,0;35,0;0,10862546125461255;0,008071955719557196;0,5345940959409594;0,3482472324723247
