ADM3_PCODE;JUNTA_SEXO;Sufragantes;Votos_válidos;Nulos;Blancos;Nulos_pct;Blancos_pct;"DANIEL NOBOA AZIN
(Derecha liberal 
moderada)";"LUISA GONZALEZ
(Izquierda autoritaria)"
EC010150;FEMENINO;4924,0;4618,0;288,0;18,0;0,05848903330625508;0,0036555645816409425;0,619821283509342;0,318034118602762
EC010151;FEMENINO;9888,0;8909,0;907,0;70,0;0,09172734627831715;0,007079288025889968;0,5626011326860841;0,3383899676375405
EC010152;FEMENINO;2402,0;2182,0;202,0;19,0;0,08409658617818484;0,00791007493755204;0,5974188176519567;0,31099084096586177
EC010153;FEMENINO;524,0;472,0;40,0;12,0;0,07633587786259542;0,022900763358778626;0,37786259541984735;0,5229007633587787
EC010154;FEMENINO;966,0;860,0;102,0;4,0;0,10559006211180125;0,004140786749482402;0,6200828157349897;0,2701863354037267
EC010155;FEMENINO;1659,0;1460,0;187,0;12,0;0,11271850512356842;0,007233273056057866;0,568414707655214;0,3116335141651597
EC010156;FEMENINO;1728,0;1549,0;170,0;10,0;0,09837962962962964;0,005787037037037037;0,5451388888888888;0,35127314814814814
EC010157;FEMENINO;2448,0;2223,0;202,0;23,0;0,08251633986928104;0,009395424836601307;0,4027777777777778;0,5053104575163399
EC010158;FEMENINO;2281,0;2075,0;186,0;20,0;0,08154318281455503;0,008768084173608066;0,5655414291977203;0,3441473038141166
EC010159;FEMENINO;728,0;637,0;81,0;10,0;0,11126373626373626;0,013736263736263736;0,4766483516483517;0,3983516483516483
EC010160;FEMENINO;2049,0;1868,0;165,0;16,0;0,08052708638360176;0,007808687164470474;0,5861395802830649;0,32552464616886284
EC010161;FEMENINO;2650,0;2375,0;235,0;40,0;0,08867924528301886;0,01509433962264151;0,5162264150943396;0,38
EC010162;FEMENINO;7979,0;7272,0;667,0;39,0;0,08359443539290638;0,004887830555207419;0,577766637423236;0,33362576764005514
EC010163;FEMENINO;3835,0;3523,0;280,0;32,0;0,07301173402868318;0,008344198174706649;0,5710560625814863;0,34758800521512384
EC010164;FEMENINO;2419,0;2130,0;267,0;21,0;0,11037618850764778;0,0086812732534105;0,5394791236047953;0,3410500206696982
EC010165;FEMENINO;5018,0;4502,0;472,0;44,0;0,0940613790354723;0,00876843363889996;0,5506177760063771;0,3465524113192507
EC010166;FEMENINO;1457,0;1291,0;156,0;10,0;0,10706932052161977;0,0068634179821551134;0,363761153054221;0,5223061084420041
EC010167;FEMENINO;4533,0;4003,0;489,0;42,0;0,10787557908669755;0,009265387160820648;0,5541583939995588;0,32892124420913305
EC010168;FEMENINO;4037,0;3487,0;510,0;39,0;0,1263314342333416;0,009660639088432003;0,5219222194699034;0,34183799851374785
EC010169;FEMENINO;2985,0;2592,0;371,0;22,0;0,12428810720268006;0,007370184254606365;0,5072026800670016;0,3611390284757119
EC010170;FEMENINO;7352,0;6616,0;698,0;40,0;0,09494015233949946;0,00544069640914037;0,5265233949945594;0,37336779107725787
EC010171;FEMENINO;1904,0;1692,0;195,0;16,0;0,10241596638655462;0,008403361344537815;0,5330882352941176;0,3555672268907563
EC010250;FEMENINO;3460,0;3186,0;245,0;29,0;0,0708092485549133;0,00838150289017341;0,723121387283237;0,1976878612716763
EC010251;FEMENINO;870,0;826,0;36,0;8,0;0,041379310344827586;0,009195402298850575;0,6540229885057471;0,29540229885057473
EC010252;FEMENINO;218,0;202,0;9,0;7,0;0,04128440366972477;0,03211009174311927;0,44954128440366975;0,47706422018348627
EC010350;FEMENINO;9064,0;8009,0;973,0;81,0;0,1073477493380406;0,008936451897616946;0,5464474845542807;0,33715798764342453
EC010352;FEMENINO;584,0;508,0;68,0;8,0;0,11643835616438356;0,0136986301369863;0,547945205479452;0,3219178082191781
EC010353;FEMENINO;1578,0;1409,0;151,0;18,0;0,09569074778200254;0,011406844106463879;0,5164765525982256;0,376425855513308
EC010354;FEMENINO;664,0;584,0;75,0;5,0;0,11295180722891567;0,007530120481927711;0,536144578313253;0,3433734939759036
EC010356;FEMENINO;299,0;265,0;24,0;10,0;0,0802675585284281;0,033444816053511704;0,5451505016722408;0,3411371237458194
EC010357;FEMENINO;1686,0;1429,0;227,0;29,0;0,134638196915777;0,01720047449584816;0,43119810201660735;0,41637010676156583
EC010358;FEMENINO;1026,0;920,0;94,0;12,0;0,09161793372319688;0,011695906432748537;0,4844054580896686;0,41228070175438597
EC010359;FEMENINO;261,0;223,0;33,0;5,0;0,12643678160919541;0,019157088122605363;0,5325670498084292;0,3218390804597701
EC010360;FEMENINO;254,0;231,0;22,0;1,0;0,08661417322834646;0,003937007874015748;0,5236220472440944;0,3858267716535433
EC010450;FEMENINO;3971,0;3491,0;441,0;39,0;0,11105514983631327;0,009821203727020902;0,43742130445731553;0,44170234197935027
EC010451;FEMENINO;877,0;766,0;103,0;8,0;0,11744583808437856;0,009122006841505131;0,45952109464082097;0,41391106043329534
EC010452;FEMENINO;552,0;498,0;47,0;7,0;0,08514492753623189;0,012681159420289856;0,5018115942028986;0,4003623188405797
EC010453;FEMENINO;500,0;458,0;32,0;10,0;0,064;0,02;0,394;0,522
EC010550;FEMENINO;6010,0;5326,0;625,0;59,0;0,10399334442595674;0,009816971713810315;0,5063227953410981;0,37986688851913475
EC010552;FEMENINO;472,0;419,0;42,0;11,0;0,08898305084745763;0,023305084745762712;0,4025423728813559;0,4851694915254237
EC010553;FEMENINO;746,0;650,0;89,0;7,0;0,1193029490616622;0,00938337801608579;0,5160857908847185;0,3552278820375335
EC010554;FEMENINO;666,0;552,0;106,0;8,0;0,15915915915915915;0,012012012012012012;0,4774774774774775;0,35135135135135137
EC010556;FEMENINO;331,0;303,0;26,0;2,0;0,07854984894259819;0,006042296072507553;0,4954682779456193;0,4199395770392749
