ADM3_PCODE;JUNTA_SEXO;Sufragantes;Votos_válidos;Nulos;Blancos;Nulos_pct;Blancos_pct;"DANIEL NOBOA AZIN
(Derecha liberal 
moderada)";"LUISA GONZALEZ
(Izquierda autoritaria)"
EC010150;MASCULINO;4223,0;3924,0;284,0;15,0;0,06725076959507459;0,003551977267345489;0,5915226142552688;0,33767463888231114
EC010151;MASCULINO;8416,0;7725,0;646,0;44,0;0,07675855513307984;0,005228136882129277;0,5712927756653993;0,34660171102661597
EC010152;MASCULINO;1778,0;1655,0;107,0;16,0;0,06017997750281215;0,008998875140607425;0,5787401574803149;0,35208098987626546
EC010153;MASCULINO;500,0;440,0;48,0;12,0;0,096;0,024;0,396;0,484
EC010154;MASCULINO;696,0;617,0;72,0;7,0;0,10344827586206896;0,010057471264367816;0,5890804597701149;0,2974137931034483
EC010155;MASCULINO;1318,0;1186,0;122,0;10,0;0,09256449165402124;0,007587253414264037;0,5925644916540213;0,30728376327769347
EC010156;MASCULINO;1497,0;1351,0;134,0;12,0;0,0895123580494322;0,008016032064128256;0,5470941883767535;0,35537742150968604
EC010157;MASCULINO;2146,0;1945,0;183,0;17,0;0,08527493010251631;0,007921714818266543;0,4082013047530289;0,49813606710158437
EC010158;MASCULINO;2083,0;1926,0;140,0;18,0;0,06721075372059529;0,008641382621219395;0,599135861737878;0,3254920787325972
EC010159;MASCULINO;545,0;480,0;56,0;9,0;0,10275229357798166;0,01651376146788991;0,45871559633027525;0,42201834862385323
EC010160;MASCULINO;1645,0;1502,0;133,0;10,0;0,08085106382978724;0,0060790273556231;0,5708206686930091;0,34224924012158053
EC010161;MASCULINO;1939,0;1730,0;192,0;17,0;0,09902011346054668;0,008767405879319236;0,5054151624548736;0,3867973182052604
EC010162;MASCULINO;7000,0;6405,0;568,0;26,0;0,08114285714285714;0,0037142857142857142;0,5652857142857143;0,3497142857142857
EC010163;MASCULINO;3312,0;3014,0;278,0;20,0;0,08393719806763285;0,006038647342995169;0,5748792270531401;0,3351449275362319
EC010164;MASCULINO;1917,0;1698,0;204,0;14,0;0,10641627543035993;0,007303077725612937;0,5284298382889933;0,35732916014606153
EC010165;MASCULINO;4270,0;3874,0;342,0;53,0;0,08009367681498829;0,012412177985948477;0,5566744730679157;0,3505854800936768
EC010166;MASCULINO;1155,0;1047,0;103,0;6,0;0,08917748917748917;0,005194805194805195;0,40606060606060607;0,5004329004329005
EC010167;MASCULINO;3421,0;3078,0;318,0;25,0;0,092955276235019;0,007307804735457469;0,552762350190003;0,3469745688395206
EC010168;MASCULINO;3181,0;2770,0;374,0;34,0;0,11757309022320026;0,01068846274756366;0,5300220056585979;0,34077334171644136
EC010169;MASCULINO;2405,0;2184,0;208,0;13,0;0,08648648648648649;0,005405405405405406;0,5272349272349273;0,3808731808731809
EC010170;MASCULINO;6298,0;5701,0;563,0;34,0;0,08939345824071133;0,005398539218799619;0,5331851381390917;0,37202286440139726
EC010171;MASCULINO;1421,0;1261,0;150,0;10,0;0,1055594651653765;0,007037297677691766;0,505981703026038;0,38142153413089375
EC010250;MASCULINO;2773,0;2549,0;207,0;17,0;0,07464839523981248;0,006130544536602957;0,6884240894338262;0,2307969707897584
EC010251;MASCULINO;747,0;701,0;44,0;2,0;0,058902275769745646;0,002677376171352075;0,6546184738955824;0,2838018741633199
EC010252;MASCULINO;166,0;155,0;10,0;1,0;0,060240963855421686;0,006024096385542169;0,4457831325301205;0,4879518072289157
EC010350;MASCULINO;7257,0;6491,0;709,0;57,0;0,09769877359790546;0,007854485324514262;0,5543613063249276;0,3400854347526526
EC010352;MASCULINO;391,0;348,0;39,0;4,0;0,09974424552429667;0,010230179028132993;0,4961636828644501;0,3938618925831202
EC010353;MASCULINO;1228,0;1104,0;108,0;16,0;0,08794788273615635;0,013029315960912053;0,5195439739413681;0,3794788273615635
EC010354;MASCULINO;469,0;430,0;39,0;1,0;0,08315565031982942;0,0021321961620469083;0,5522388059701493;0,3646055437100213
EC010356;MASCULINO;223,0;211,0;10,0;2,0;0,04484304932735426;0,008968609865470852;0,5919282511210763;0,3542600896860987
EC010357;MASCULINO;1039,0;916,0;110,0;12,0;0,10587102983638114;0,011549566891241578;0,42637151106833493;0,4552454282964389
EC010358;MASCULINO;776,0;689,0;80,0;7,0;0,10309278350515463;0,00902061855670103;0,5012886597938144;0,3865979381443299
EC010359;MASCULINO;181,0;155,0;23,0;3,0;0,1270718232044199;0,016574585635359115;0,56353591160221;0,292817679558011
EC010360;MASCULINO;189,0;170,0;18,0;1,0;0,09523809523809523;0,005291005291005291;0,4973544973544973;0,4021164021164021
EC010450;MASCULINO;3148,0;2800,0;323,0;25,0;0,10260482846251588;0,007941550190597205;0,43678526048284627;0,45266836086404066
EC010451;MASCULINO;815,0;744,0;66,0;5,0;0,08098159509202454;0,006134969325153374;0,4834355828220859;0,4294478527607362
EC010452;MASCULINO;564,0;510,0;51,0;3,0;0,09042553191489362;0,005319148936170213;0,49113475177304966;0,41312056737588654
EC010453;MASCULINO;443,0;398,0;42,0;2,0;0,09480812641083522;0,004514672686230248;0,3611738148984199;0,5372460496613995
EC010550;MASCULINO;4981,0;4502,0;435,0;42,0;0,08733186107207389;0,008432041758682996;0,5111423408954026;0,3926922304758081
EC010552;MASCULINO;434,0;407,0;24,0;3,0;0,055299539170506916;0,0069124423963133645;0,4423963133640553;0,49539170506912444
EC010553;MASCULINO;597,0;547,0;48,0;2,0;0,08040201005025126;0,0033500837520938024;0,5326633165829145;0,38358458961474035
EC010554;MASCULINO;514,0;446,0;65,0;3,0;0,1264591439688716;0,005836575875486381;0,48443579766536965;0,3832684824902724
EC010556;MASCULINO;339,0;320,0;19,0;0,0;0,05604719764011799;0,0;0,5427728613569321;0,40117994100294985
EC010559;MASCULINO;600,0;539,0;54,0;7,0;0,09;0,011666666666666667;0,5266666666666666;0,37166666666666665
EC010561;MASCULINO;325,0;291,0;32,0;2,0;0,09846153846153846;0,006153846153846154;0,3230769230769231;0,5723076923076923
EC010562;MASCULINO;338,0;312,0;24,0;2,0;0,07100591715976332;0,005917159763313609;0,4467455621301775;0,47633136094674555
EC010650;MASCULINO;2349,0;2208,0;120,0;21,0;0,05108556832694764;0,008939974457215836;0,38058748403575987;0,5593869731800766
EC010652;MASCULINO;441,0;413,0;27,0;1,0;0,061224489795918366;0,0022675736961451248;0,42857142857142855;0,5079365079365079
EC010750;MASCULINO;1125,0;1058,0;57,0;10,0;0,050666666666666665;0,008888888888888889;0,6666666666666666;0,2737777777777778
EC010751;MASCULINO;160,0;154,0;4,0;2,0;0,025;0,0125;0,65;0,3125
EC010850;MASCULINO;4551,0;4271,0;250,0;30,0;0,054932981762250054;0,0065919578114700065;0,6152493957372006;0,3232256646890793
EC010851;MASCULINO;988,0;931,0;55,0;2,0;0,05566801619433198;0,0020242914979757085;0,5769230769230769;0,36538461538461536
EC010852;MASCULINO;455,0;426,0;25,0;4,0;0,054945054945054944;0,008791208791208791;0,5516483516483517;0,38461538461538464
EC010853;MASCULINO;590,0;559,0;24,0;7,0;0,04067796610169491;0,011864406779661017;0,5423728813559322;0,40508474576271186
EC010854;MASCULINO;208,0;194,0;12,0;2,0;0,057692307692307696;0,009615384615384616;0,7067307692307693;0,22596153846153846
EC010950;MASCULINO;3428,0;3062,0;313,0;52,0;0,0913068844807468;0,015169194865810968;0,484830805134189;0,40840140023337224
EC010951;MASCULINO;367,0;334,0;29,0;4,0;0,07901907356948229;0,010899182561307902;0,5640326975476839;0,3460490463215259
EC010952;MASCULINO;891,0;820,0;70,0;1,0;0,07856341189674523;0,001122334455667789;0,45454545454545453;0,4657687991021324
EC010953;MASCULINO;283,0;273,0;9,0;1,0;0,03180212014134275;0,0035335689045936395;0,40636042402826855;0,558303886925795
EC010954;MASCULINO;873,0;802,0;58,0;13,0;0,06643757159221077;0,014891179839633447;0,4765177548682703;0,44215349369988544
EC010955;MASCULINO;913,0;796,0;110,0;6,0;0,12048192771084337;0,0065717415115005475;0,4534501642935378;0,4184008762322015
EC010956;MASCULINO;451,0;415,0;31,0;5,0;0,06873614190687362;0,011086474501108648;0,7671840354767184;0,15299334811529933
EC011050;MASCULINO;1033,0;942,0;85,0;6,0;0,08228460793804453;0,005808325266214908;0,5179090029041626;0,39399806389157793
EC011051;MASCULINO;318,0;302,0;16,0;0,0;0,050314465408805034;0,0;0,5188679245283019;0,4308176100628931
EC011150;MASCULINO;2312,0;2110,0;186,0;16,0;0,08044982698961937;0,006920415224913495;0,5592560553633218;0,35337370242214533
EC011151;MASCULINO;328,0;299,0;26,0;3,0;0,07926829268292683;0,009146341463414634;0,34146341463414637;0,5701219512195121
EC011152;MASCULINO;298,0;274,0;18,0;6,0;0,06040268456375839;0,020134228187919462;0,47315436241610737;0,4463087248322148
