feature_id,slug,table_number,table_name,dimension_4,dimension_5,metric,non_missing
censo_ind_autoidentificacion_cultura_sin_numero_hombres_autoidentificacion_segun_cultura_y_costumbres_mestiza_o,autoidentificacion_cultura,,"Población por autoidentificación según cultura y costumbres, según provincia, cantón, parroquia de residencia y sexo al nacer",Hombres,,Autoidentificación según cultura y costumbres | Mestiza/o,1034
censo_ind_autoidentificacion_cultura_sin_numero_hombres_numero_total_de_personas,autoidentificacion_cultura,,"Población por autoidentificación según cultura y costumbres, según provincia, cantón, parroquia de residencia y sexo al nacer",Hombres,,Número total de personas,1042
censo_ind_autoidentificacion_cultura_sin_numero_mujeres_autoidentificacion_segun_cultura_y_costumbres_mestiza_o,autoidentificacion_cultura,,"Población por autoidentificación según cultura y costumbres, según provincia, cantón, parroquia de residencia y sexo al nacer",Mujeres,,Autoidentificación según cultura y costumbres | Mestiza/o,1030
censo_ind_autoidentificacion_cultura_sin_numero_mujeres_numero_total_de_personas,autoidentificacion_cultura,,"Población por autoidentificación según cultura y costumbres, según provincia, cantón, parroquia de residencia y sexo al nacer",Mujeres,,Número total de personas,1042
censo_ind_autoidentificacion_cultura_sin_numero_total_geografia_autoidentificacion_segun_cultura_y_costumbres_mestiza_o,autoidentificacion_cultura,,"Población por autoidentificación según cultura y costumbres, según provincia, cantón, parroquia de residencia y sexo al nacer",Total 10 de Agosto,,Autoidentificación según cultura y costumbres | Mestiza/o,1037
censo_ind_autoidentificacion_cultura_sin_numero_total_geografia_numero_total_de_personas,autoidentificacion_cultura,,"Población por autoidentificación según cultura y costumbres, según provincia, cantón, parroquia de residencia y sexo al nacer",Total 10 de Agosto,,Número total de personas,1042
censo_ind_composicion_hogar_1_2_numero_de_miembros_del_hogar_1_persona,composicion_hogar,1.2,"Hogares por número de miembros del hogar, según provincia, cantón y parroquia",,,Número de miembros del hogar | 1 persona,1042
censo_ind_composicion_hogar_1_2_numero_de_miembros_del_hogar_2_personas,composicion_hogar,1.2,"Hogares por número de miembros del hogar, según provincia, cantón y parroquia",,,Número de miembros del hogar | 2 personas,1041
censo_ind_composicion_hogar_1_2_numero_de_miembros_del_hogar_3_personas,composicion_hogar,1.2,"Hogares por número de miembros del hogar, según provincia, cantón y parroquia",,,Número de miembros del hogar | 3 personas,1042
censo_ind_composicion_hogar_1_2_numero_de_miembros_del_hogar_4_personas,composicion_hogar,1.2,"Hogares por número de miembros del hogar, según provincia, cantón y parroquia",,,Número de miembros del hogar | 4 personas,1042
