rate_feature_id,numerator_feature_id,denominator_feature_id,numerator_metric,denominator_metric,table_name
censo_rate_autoidentificacion_cultura_sin_numero_hombres_autoidentificacion_segun_cultura_y_costumbres_mestiza_o,censo_ind_autoidentificacion_cultura_sin_numero_hombres_autoidentificacion_segun_cultura_y_costumbres_mestiza_o,censo_ind_autoidentificacion_cultura_sin_numero_hombres_numero_total_de_personas,Autoidentificación según cultura y costumbres | Mestiza/o,Número total de personas,"Población por autoidentificación según cultura y costumbres, según provincia, cantón, parroquia de residencia y sexo al nacer"
censo_rate_autoidentificacion_cultura_sin_numero_mujeres_autoidentificacion_segun_cultura_y_costumbres_mestiza_o,censo_ind_autoidentificacion_cultura_sin_numero_mujeres_autoidentificacion_segun_cultura_y_costumbres_mestiza_o,censo_ind_autoidentificacion_cultura_sin_numero_mujeres_numero_total_de_personas,Autoidentificación según cultura y costumbres | Mestiza/o,Número total de personas,"Población por autoidentificación según cultura y costumbres, según provincia, cantón, parroquia de residencia y sexo al nacer"
censo_rate_autoidentificacion_cultura_sin_numero_total_geografia_autoidentificacion_segun_cultura_y_costumbres_mestiza_o,censo_ind_autoidentificacion_cultura_sin_numero_total_geografia_autoidentificacion_segun_cultura_y_costumbres_mestiza_o,censo_ind_autoidentificacion_cultura_sin_numero_total_geografia_numero_total_de_personas,Autoidentificación según cultura y costumbres | Mestiza/o,Número total de personas,"Población por autoidentificación según cultura y costumbres, según provincia, cantón, parroquia de residencia y sexo al nacer"
censo_rate_composicion_hogar_1_2_numero_de_miembros_del_hogar_1_persona,censo_ind_composicion_hogar_1_2_numero_de_miembros_del_hogar_1_persona,censo_ind_composicion_hogar_1_2_numero_total_de_hogares,Número de miembros del hogar | 1 persona,Número total de hogares,"Hogares por número de miembros del hogar, según provincia, cantón y parroquia"
censo_rate_composicion_hogar_1_2_numero_de_miembros_del_hogar_2_personas,censo_ind_composicion_hogar_1_2_numero_de_miembros_del_hogar_2_personas,censo_ind_composicion_hogar_1_2_numero_total_de_hogares,Número de miembros del hogar | 2 personas,Número total de hogares,"Hogares por número de miembros del hogar, según provincia, cantón y parroquia"
censo_rate_composicion_hogar_1_2_numero_de_miembros_del_hogar_3_personas,censo_ind_composicion_hogar_1_2_numero_de_miembros_del_hogar_3_personas,censo_ind_composicion_hogar_1_2_numero_total_de_hogares,Número de miembros del hogar | 3 personas,Número total de hogares,"Hogares por número de miembros del hogar, según provincia, cantón y parroquia"
censo_rate_composicion_hogar_1_2_numero_de_miembros_del_hogar_4_personas,censo_ind_composicion_hogar_1_2_numero_de_miembros_del_hogar_4_personas,censo_ind_composicion_hogar_1_2_numero_total_de_hogares,Número de miembros del hogar | 4 personas,Número total de hogares,"Hogares por número de miembros del hogar, según provincia, cantón y parroquia"
censo_rate_composicion_hogar_1_2_numero_de_miembros_del_hogar_5_personas_o_mas,censo_ind_composicion_hogar_1_2_numero_de_miembros_del_hogar_5_personas_o_mas,censo_ind_composicion_hogar_1_2_numero_total_de_hogares,Número de miembros del hogar | 5 personas o más,Número total de hogares,"Hogares por número de miembros del hogar, según provincia, cantón y parroquia"
censo_rate_composicion_hogar_2_2_hombres_numero_de_miembros_del_hogar_1_persona,censo_ind_composicion_hogar_2_2_hombres_numero_de_miembros_del_hogar_1_persona,censo_ind_composicion_hogar_2_2_hombres_numero_total_de_hogares,Número de miembros del hogar | 1 persona,Número total de hogares,"Hogares por número de miembros del hogar, según provincia, cantón, parroquia y sexo del representante del hogar"
censo_rate_composicion_hogar_2_2_hombres_numero_de_miembros_del_hogar_2_personas,censo_ind_composicion_hogar_2_2_hombres_numero_de_miembros_del_hogar_2_personas,censo_ind_composicion_hogar_2_2_hombres_numero_total_de_hogares,Número de miembros del hogar | 2 personas,Número total de hogares,"Hogares por número de miembros del hogar, según provincia, cantón, parroquia y sexo del representante del hogar"
censo_rate_composicion_hogar_2_2_hombres_numero_de_miembros_del_hogar_3_personas,censo_ind_composicion_hogar_2_2_hombres_numero_de_miembros_del_hogar_3_personas,censo_ind_composicion_hogar_2_2_hombres_numero_total_de_hogares,Número de miembros del hogar | 3 personas,Número total de hogares,"Hogares por número de miembros del hogar, según provincia, cantón, parroquia y sexo del representante del hogar"
censo_rate_composicion_hogar_2_2_hombres_numero_de_miembros_del_hogar_4_personas,censo_ind_composicion_hogar_2_2_hombres_numero_de_miembros_del_hogar_4_personas,censo_ind_composicion_hogar_2_2_hombres_numero_total_de_hogares,Número de miembros del hogar | 4 personas,Número total de hogares,"Hogares por número de miembros del hogar, según provincia, cantón, parroquia y sexo del representante del hogar"
censo_rate_composicion_hogar_2_2_hombres_numero_de_miembros_del_hogar_5_personas_o_mas,censo_ind_composicion_hogar_2_2_hombres_numero_de_miembros_del_hogar_5_personas_o_mas,censo_ind_composicion_hogar_2_2_hombres_numero_total_de_hogares,Número de miembros del hogar | 5 personas o más,Número total de hogares,"Hogares por número de miembros del hogar, según provincia, cantón, parroquia y sexo del representante del hogar"
censo_rate_composicion_hogar_2_2_mujeres_numero_de_miembros_del_hogar_1_persona,censo_ind_composicion_hogar_2_2_mujeres_numero_de_miembros_del_hogar_1_persona,censo_ind_composicion_hogar_2_2_mujeres_numero_total_de_hogares,Número de miembros del hogar | 1 persona,Número total de hogares,"Hogares por número de miembros del hogar, según provincia, cantón, parroquia y sexo del representante del hogar"
censo_rate_composicion_hogar_2_2_mujeres_numero_de_miembros_del_hogar_2_personas,censo_ind_composicion_hogar_2_2_mujeres_numero_de_miembros_del_hogar_2_personas,censo_ind_composicion_hogar_2_2_mujeres_numero_total_de_hogares,Número de miembros del hogar | 2 personas,Número total de hogares,"Hogares por número de miembros del hogar, según provincia, cantón, parroquia y sexo del representante del hogar"
censo_rate_composicion_hogar_2_2_mujeres_numero_de_miembros_del_hogar_3_personas,censo_ind_composicion_hogar_2_2_mujeres_numero_de_miembros_del_hogar_3_personas,censo_ind_composicion_hogar_2_2_mujeres_numero_total_de_hogares,Número de miembros del hogar | 3 personas,Número total de hogares,"Hogares por número de miembros del hogar, según provincia, cantón, parroquia y sexo del representante del hogar"
censo_rate_composicion_hogar_2_2_mujeres_numero_de_miembros_del_hogar_4_personas,censo_ind_composicion_hogar_2_2_mujeres_numero_de_miembros_del_hogar_4_personas,censo_ind_composicion_hogar_2_2_mujeres_numero_total_de_hogares,Número de miembros del hogar | 4 personas,Número total de hogares,"Hogares por número de miembros del hogar, según provincia, cantón, parroquia y sexo del representante del hogar"
