feature_set,method,k,eps,min_samples,features,pca_variance,transformed_features,clusters_found,noise_points,silhouette,calinski_harabasz,davies_bouldin,min_cluster_size,max_cluster_size
pc,dbscan,,3.0,10.0,48,,48,3,868,0.29362415240513595,71.4464459174651,1.1211350621465916,20.0,132.0
pc,kmeans,5.0,,,48,,48,5,0,0.15194639884600655,135.63515759618824,1.66313156801683,6.0,346.0
pc,kmeans,4.0,,,48,,48,4,0,0.1516528180377383,144.37324605243313,1.8187229500190432,138.0,341.0
pc,dbscan,,3.5,10.0,48,,48,3,602,0.14504080514281834,24.915161392009363,1.092658085396293,10.0,417.0
pc,kmeans,6.0,,,48,,48,6,0,0.13284652632645866,125.14454344602366,1.734511049768221,2.0,324.0
pc,agglomerative,4.0,,,48,,48,4,0,0.12925594153626296,107.0151230947175,1.9735731467499595,149.0,487.0
pc,kmeans,7.0,,,48,,48,7,0,0.12881668297228374,117.44325112035445,1.781865556726938,2.0,238.0
pc,kmeans,8.0,,,48,,48,8,0,0.12462938669036469,110.14268809460067,1.8130420295987801,2.0,241.0
pc,agglomerative,5.0,,,48,,48,5,0,0.12018971788573293,106.04418891036663,1.682233495744465,2.0,487.0
pc,agglomerative,7.0,,,48,,48,7,0,0.10901746166864346,96.5049581676154,1.825121537468629,2.0,386.0
pc,agglomerative,6.0,,,48,,48,6,0,0.10345924332161001,99.70026365666686,1.807978838121892,2.0,386.0
pc,agglomerative,8.0,,,48,,48,8,0,0.08404448977293771,91.73249565551103,1.9515047777546326,2.0,201.0
pc,gmm,4.0,,,48,,48,4,0,0.051467207377627215,63.860355405960064,2.5686777782974026,55.0,561.0
pc,gmm,8.0,,,48,,48,8,0,0.045029505319955164,64.22385561252389,2.5506625161734986,1.0,264.0
pc,gmm,5.0,,,48,,48,5,0,0.0407412145497862,70.81913321218242,3.0512322971031525,59.0,340.0
pc,gmm,7.0,,,48,,48,7,0,0.03340030426473148,64.98269894673466,2.665870247462323,6.0,350.0
pc,gmm,6.0,,,48,,48,6,0,0.006510098824387721,58.40112281362374,2.550214516236377,6.0,469.0
pc,dbscan,,2.0,10.0,48,,48,0,1041,,,,,
pc,dbscan,,2.5,10.0,48,,48,1,994,,,,47.0,47.0
pc,dbscan,,4.0,10.0,48,,48,1,350,,,,691.0,691.0
