feature_set,method,k,eps,min_samples,features,pca_variance,transformed_features,clusters_found,noise_points,silhouette,calinski_harabasz,davies_bouldin,min_cluster_size,max_cluster_size
pc,kmeans,4.0,,,715,0.9,83,4,0,0.11992134170514736,135.02963978133042,2.361097260385159,179.0,340.0
pc,gmm,4.0,,,715,0.9,83,4,0,0.10139542160114955,92.27340789891434,2.8700886247015145,150.0,518.0
pc,kmeans,5.0,,,715,0.9,83,5,0,0.10026125515930122,115.18514747098972,2.3117815111318065,116.0,311.0
pc,agglomerative,4.0,,,715,0.9,83,4,0,0.09602791921157328,118.2435387231183,2.526635043385429,192.0,330.0
pc,kmeans,7.0,,,715,0.9,83,7,0,0.09501178584777921,92.23695158114644,2.19310616819159,53.0,264.0
pc,kmeans,6.0,,,715,0.9,83,6,0,0.09357576401608976,102.30954638898406,2.2481239082777686,62.0,292.0
pc,gmm,6.0,,,715,0.9,83,6,0,0.08313147730280594,96.24185448221367,2.5567909926939225,115.0,286.0
pc,kmeans,8.0,,,715,0.9,83,8,0,0.07597092595729833,84.49579069663413,2.4580733427531465,50.0,183.0
pc,gmm,8.0,,,715,0.9,83,8,0,0.0737676100724832,84.12898665435563,2.4806836220843174,46.0,179.0
pc,gmm,5.0,,,715,0.9,83,5,0,0.07197321981082865,87.76670886769175,2.7100455534193193,130.0,386.0
pc,gmm,7.0,,,715,0.9,83,7,0,0.07195242905548922,85.25310704035891,2.717988774108101,66.0,214.0
pc,agglomerative,5.0,,,715,0.9,83,5,0,0.05943523897019857,100.68676870105965,2.454254732169656,159.0,326.0
pc,agglomerative,6.0,,,715,0.9,83,6,0,0.0516918734061009,89.27143521038458,2.376074138186317,53.0,326.0
pc,agglomerative,8.0,,,715,0.9,83,8,0,0.04922939169649021,73.94414988404563,2.6863699403392225,53.0,199.0
pc,agglomerative,7.0,,,715,0.9,83,7,0,0.04313571787439569,80.81365317004251,2.580441824114324,53.0,199.0
pc,dbscan,,2.0,10.0,715,0.9,83,0,1041,,,,,
pc,dbscan,,2.5,10.0,715,0.9,83,0,1041,,,,,
pc,dbscan,,3.0,10.0,715,0.9,83,0,1041,,,,,
pc,dbscan,,3.5,10.0,715,0.9,83,0,1041,,,,,
pc,dbscan,,4.0,10.0,715,0.9,83,0,1041,,,,,
