issue,ADM3_PCODE,provincia_sat,canton_sat,parroquia_sat,sat_personas,censo_personas,censo_nbi_personas_viviendas_particulares,censo_personas_minus_sat_personas,censo_nbi_personas_minus_sat_personas
missing_election,EC050653,Cotopaxi,Saquisilí,Cochapamba,2554,2554.0,2554.0,0.0,0.0
missing_election,EC130252,Manabí,Bolívar,Quiroga,3552,3552.0,3552.0,0.0,0.0
missing_election,EC170150,Pichincha,Distrito Metropolitano de Quito,Quito,1772665,1776364.0,1772665.0,3699.0,0.0
missing_election,EC130251,Manabí,Bolívar,Membrillo,3573,3573.0,3573.0,0.0,0.0
missing_election,EC130653,Manabí,Jipijapa,Julcuy,1816,1816.0,1816.0,0.0,0.0
missing_election,EC200152,Galápagos,San Cristóbal,Isla Santa María Floreana,145,145.0,145.0,0.0,0.0
missing_election,EC200351,Galápagos,Santa Cruz,Bella Vista,3928,3933.0,3928.0,5.0,0.0
missing_election,EC200352,Galápagos,Santa Cruz,Santa Rosa,560,563.0,560.0,3.0,0.0
missing_election,EC080562,Esmeraldas,San Lorenzo,Urbina,511,511.0,511.0,0.0,0.0
sat_personas_differs_from_total_population,EC030750,Cañar,Suscal,Suscal,4622,4627.0,4622.0,5.0,0.0
sat_personas_differs_from_total_population,EC080256,Esmeraldas,Eloy Alfaro,Maldonado,2097,2100.0,2097.0,3.0,0.0
sat_personas_differs_from_total_population,EC090653,Guayas,Daule,Laurel,10540,10558.0,10540.0,18.0,0.0
sat_personas_differs_from_total_population,EC091452,Guayas,Pedro Carbo,Sabanilla,8012,8021.0,8012.0,9.0,0.0
sat_personas_differs_from_total_population,EC091953,Guayas,Salitre,Junquillal,12678,12680.0,12678.0,2.0,0.0
sat_personas_differs_from_total_population,EC100253,Imbabura,Antonio Ante,San José de Chaltura,3836,3862.0,3836.0,26.0,0.0
sat_personas_differs_from_total_population,EC111160,Loja,Saraguro,Sumaypamba,1513,1514.0,1513.0,1.0,0.0
sat_personas_differs_from_total_population,EC131053,Manabí,Paján,Guale,4726,4727.0,4726.0,1.0,0.0
sat_personas_differs_from_total_population,EC240155,Santa Elena,Santa Elena,Simón Bolívar,4381,4384.0,4381.0,3.0,0.0
sat_personas_differs_from_total_population,EC240351,Santa Elena,Salinas,Anconcito,15047,15052.0,15047.0,5.0,0.0
sat_personas_differs_from_total_population,EC210454,Sucumbíos,Shushufindi,San Pedro de los Cofánes,3636,3644.0,3636.0,8.0,0.0
sat_personas_differs_from_total_population,EC010554,Azuay,Paute,El Cabo,3361,3366.0,3361.0,5.0,0.0
sat_personas_differs_from_total_population,EC170254,Pichincha,Cayambe,Otón,3166,3167.0,3166.0,1.0,0.0
sat_personas_differs_from_total_population,EC010156,Azuay,Cuenca,Llacao,7464,7468.0,7464.0,4.0,0.0
sat_personas_differs_from_total_population,EC141150,Morona Santiago,Pablo Sexto,Pablo Sexto,2263,2267.0,2263.0,4.0,0.0
sat_personas_differs_from_total_population,EC060155,Chimborazo,Riobamba,Licán,11723,11726.0,11723.0,3.0,0.0
sat_personas_differs_from_total_population,EC170255,Pichincha,Cayambe,Santa Rosa de Cuzubamba,5992,5996.0,5992.0,4.0,0.0
sat_personas_differs_from_total_population,EC170163,Pichincha,Distrito Metropolitano de Quito,Guayllabamba,20511,20584.0,20511.0,73.0,0.0
sat_personas_differs_from_total_population,EC210153,Sucumbíos,Lago Agrio,General Farfán,6666,6681.0,6666.0,15.0,0.0
sat_personas_differs_from_total_population,EC011150,Azuay,Chordeleg,Chordeleg,6814,6907.0,6814.0,93.0,0.0
sat_personas_differs_from_total_population,EC030451,Cañar,La Troncal,Manuel J. Calle,4720,4732.0,4720.0,12.0,0.0
sat_personas_differs_from_total_population,EC070152,El Oro,Machala,El Retiro,4483,4538.0,4483.0,55.0,0.0
sat_personas_differs_from_total_population,EC170165,Pichincha,Distrito Metropolitano de Quito,Llano Chico,15109,15113.0,15109.0,4.0,0.0
sat_personas_differs_from_total_population,EC060158,Chimborazo,Riobamba,Punín,4681,4682.0,4681.0,1.0,0.0
sat_personas_differs_from_total_population,EC010559,Azuay,Paute,San Cristóbal,2805,2819.0,2805.0,14.0,0.0
sat_personas_differs_from_total_population,EC080253,Esmeraldas,Eloy Alfaro,Borbón,9057,9079.0,9057.0,22.0,0.0
sat_personas_differs_from_total_population,EC010550,Azuay,Paute,Paute,11457,11497.0,11457.0,40.0,0.0
sat_personas_differs_from_total_population,EC071050,El Oro,Piñas,Piñas,20471,20479.0,20471.0,8.0,0.0
sat_personas_differs_from_total_population,EC170186,Pichincha,Distrito Metropolitano de Quito,Zámbiza,6152,6160.0,6152.0,8.0,0.0
sat_personas_differs_from_total_population,EC150450,Napo,El Chaco,El Chaco,5601,5624.0,5601.0,23.0,0.0
sat_personas_differs_from_total_population,EC010162,Azuay,Cuenca,Ricaurte,26904,26919.0,26904.0,15.0,0.0
sat_personas_differs_from_total_population,EC100157,Imbabura,Ibarra,San Antonio,21370,21420.0,21370.0,50.0,0.0
sat_personas_differs_from_total_population,EC030158,Cañar,Azogues,San Miguel,3614,3615.0,3614.0,1.0,0.0
sat_personas_differs_from_total_population,EC010850,Azuay,Santa Isabel,Santa Isabel,10406,10410.0,10406.0,4.0,0.0
sat_personas_differs_from_total_population,EC050555,Cotopaxi,Salcedo,Pansaleo,4075,4126.0,4075.0,51.0,0.0
sat_personas_differs_from_total_population,EC240153,Santa Elena,Santa Elena,Chanduy,20544,20558.0,20544.0,14.0,0.0
sat_personas_differs_from_total_population,EC170451,Pichincha,Pedro Moncayo,La Esperanza,4689,4701.0,4689.0,12.0,0.0
